Retailer,Retailer ID,Invoice Date,Region,City,State,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin (%),Sales Method
Adidas Bengaluru,RET-1001,2025-06-04,South,Bengaluru,Karnataka,Track Jacket,4999,17,84983,9952.76,11.71,Online
Adidas Chennai,RET-1002,2025-06-03,South,Chennai,Tamil Nadu,Adizero SL,11999,49,587951,130232.7,22.15,Retail Store
Adidas Kolkata,RET-1003,2025-06-25,East,Kolkata,West Bengal,Climacool T-shirt,2499,15,37485,8191.23,21.85,Online
Adidas Mumbai,RET-1004,2025-06-30,West,Mumbai,Maharashtra,Climacool T-shirt,2499,37,92463,23007.75,24.88,Online
Adidas Delhi,RET-1005,2025-06-25,North,Delhi,Delhi,Track Jacket,4999,30,149970,23856.74,15.91,Retail Store
Adidas Bengaluru,RET-1006,2025-06-08,South,Bengaluru,Karnataka,Climacool T-shirt,2499,8,19992,4028.65,20.15,Retail Store
Adidas Kolkata,RET-1007,2025-06-08,East,Kolkata,West Bengal,Track Jacket,4999,31,154969,15915.55,10.27,Retail Store
Adidas Bengaluru,RET-1008,2025-06-10,South,Bengaluru,Karnataka,Adizero SL,11999,17,203983,38296.93,18.77,Retail Store
Adidas Kolkata,RET-1009,2025-06-18,East,Kolkata,West Bengal,Superstar,8999,23,206977,23358.06,11.29,Online
Adidas Mumbai,RET-1010,2025-06-04,West,Mumbai,Maharashtra,Adizero SL,11999,32,383968,40389.77,10.52,Retail Store
Adidas Kolkata,RET-1011,2025-06-27,East,Kolkata,West Bengal,Superstar,8999,29,260971,28902.39,11.07,Online
Adidas Delhi,RET-1012,2025-06-07,North,Delhi,Delhi,Superstar,8999,23,206977,21356.91,10.32,Online
Adidas Kolkata,RET-1013,2025-06-23,East,Kolkata,West Bengal,Ultraboost 22,18999,6,113994,26749.67,23.47,Retail Store
Adidas Chennai,RET-1014,2025-06-21,South,Chennai,Tamil Nadu,Track Jacket,4999,48,239952,49029.95,20.43,Retail Store
Adidas Kolkata,RET-1015,2025-06-03,East,Kolkata,West Bengal,Climacool T-shirt,2499,30,74970,9837.11,13.12,Online
Adidas Bengaluru,RET-1016,2025-06-02,South,Bengaluru,Karnataka,Adizero SL,11999,22,263978,47466.3,17.98,Online
Adidas Bengaluru,RET-1017,2025-06-11,South,Bengaluru,Karnataka,Adizero SL,11999,6,71994,7361.08,10.22,Retail Store
Adidas Kolkata,RET-1018,2025-06-07,East,Kolkata,West Bengal,Climacool T-shirt,2499,39,97461,12066.98,12.38,Online
Adidas Mumbai,RET-1019,2025-06-17,West,Mumbai,Maharashtra,Superstar,8999,34,305966,40047.86,13.09,Retail Store
Adidas Chennai,RET-1020,2025-06-20,South,Chennai,Tamil Nadu,Adizero SL,11999,32,383968,64879.26,16.9,Online
Adidas Kolkata,RET-1021,2025-06-17,East,Kolkata,West Bengal,Superstar,8999,9,80991,14394.78,17.77,Retail Store
Adidas Chennai,RET-1022,2025-06-09,South,Chennai,Tamil Nadu,Climacool T-shirt,2499,40,99960,16534.19,16.54,Online
Adidas Mumbai,RET-1023,2025-06-10,West,Mumbai,Maharashtra,Superstar,8999,22,197978,43661.59,22.05,Retail Store
Adidas Kolkata,RET-1024,2025-06-23,East,Kolkata,West Bengal,Superstar,8999,8,71992,10374.38,14.41,Retail Store
Adidas Bengaluru,RET-1025,2025-06-06,South,Bengaluru,Karnataka,Climacool T-shirt,2499,36,89964,10593.26,11.77,Retail Store
Adidas Mumbai,RET-1026,2025-06-05,West,Mumbai,Maharashtra,Sports Cap,999,30,29970,4415.95,14.73,Retail Store
Adidas Chennai,RET-1027,2025-06-21,South,Chennai,Tamil Nadu,Superstar,8999,25,224975,22772.43,10.12,Retail Store
Adidas Delhi,RET-1028,2025-06-03,North,Delhi,Delhi,Adizero SL,11999,45,539955,129381.16,23.96,Online
Adidas Chennai,RET-1029,2025-06-03,South,Chennai,Tamil Nadu,Superstar,8999,16,143984,34826.11,24.19,Retail Store
Adidas Mumbai,RET-1030,2025-06-17,West,Mumbai,Maharashtra,Ultraboost 22,18999,29,550971,92759.51,16.84,Online
Adidas Bengaluru,RET-1031,2025-06-10,South,Bengaluru,Karnataka,Sports Cap,999,20,19980,3075.85,15.39,Online
Adidas Kolkata,RET-1032,2025-06-12,East,Kolkata,West Bengal,Adizero SL,11999,33,395967,57186.11,14.44,Retail Store
Adidas Kolkata,RET-1033,2025-06-15,East,Kolkata,West Bengal,Adizero SL,11999,13,155987,33494.81,21.47,Online
Adidas Delhi,RET-1034,2025-06-07,North,Delhi,Delhi,Ultraboost 22,18999,19,360981,56885.68,15.76,Online
Adidas Kolkata,RET-1035,2025-06-18,East,Kolkata,West Bengal,Superstar,8999,39,350961,49871.87,14.21,Retail Store
Adidas Kolkata,RET-1036,2025-06-07,East,Kolkata,West Bengal,Superstar,8999,16,143984,20321.69,14.11,Online
Adidas Kolkata,RET-1037,2025-06-04,East,Kolkata,West Bengal,Ultraboost 22,18999,34,645966,152442.64,23.6,Retail Store
Adidas Delhi,RET-1038,2025-06-15,North,Delhi,Delhi,Track Jacket,4999,29,144971,33727.84,23.27,Retail Store
Adidas Kolkata,RET-1039,2025-06-22,East,Kolkata,West Bengal,Superstar,8999,9,80991,8607.42,10.63,Online
Adidas Chennai,RET-1040,2025-06-20,South,Chennai,Tamil Nadu,Track Jacket,4999,8,39992,5042.76,12.61,Retail Store
Adidas Delhi,RET-1041,2025-06-02,North,Delhi,Delhi,Ultraboost 22,18999,44,835956,122568.39,14.66,Online
Adidas Delhi,RET-1042,2025-06-10,North,Delhi,Delhi,Climacool T-shirt,2499,45,112455,26974.76,23.99,Online
Adidas Bengaluru,RET-1043,2025-06-11,South,Bengaluru,Karnataka,Adizero SL,11999,43,515957,120159.2,23.29,Online
Adidas Mumbai,RET-1044,2025-06-14,West,Mumbai,Maharashtra,Track Jacket,4999,40,199960,24707.52,12.36,Online
Adidas Mumbai,RET-1045,2025-06-08,West,Mumbai,Maharashtra,Ultraboost 22,18999,42,797958,143026.61,17.92,Online
Adidas Chennai,RET-1046,2025-06-17,South,Chennai,Tamil Nadu,Adizero SL,11999,46,551954,84612.83,15.33,Retail Store
Adidas Bengaluru,RET-1047,2025-06-03,South,Bengaluru,Karnataka,Track Jacket,4999,6,29994,7187.5,23.96,Online
Adidas Mumbai,RET-1048,2025-06-24,West,Mumbai,Maharashtra,Ultraboost 22,18999,47,892953,121358.84,13.59,Online
Adidas Delhi,RET-1049,2025-06-02,North,Delhi,Delhi,Climacool T-shirt,2499,6,14994,2781.08,18.55,Retail Store
Adidas Bengaluru,RET-1050,2025-06-26,South,Bengaluru,Karnataka,Ultraboost 22,18999,38,721962,149389.68,20.69,Retail Store
Adidas Kolkata,RET-1051,2025-06-21,East,Kolkata,West Bengal,Track Jacket,4999,15,74985,9343.6,12.46,Online
Adidas Kolkata,RET-1052,2025-06-18,East,Kolkata,West Bengal,Sports Cap,999,17,16983,2046.96,12.05,Retail Store
Adidas Delhi,RET-1053,2025-06-20,North,Delhi,Delhi,Adizero SL,11999,7,83993,17047.38,20.3,Online
Adidas Chennai,RET-1054,2025-06-26,South,Chennai,Tamil Nadu,Adizero SL,11999,30,359970,88805.6,24.67,Online
Adidas Kolkata,RET-1055,2025-06-22,East,Kolkata,West Bengal,Sports Cap,999,26,25974,2784.51,10.72,Retail Store
Adidas Delhi,RET-1056,2025-06-20,North,Delhi,Delhi,Superstar,8999,46,413954,100837.18,24.36,Retail Store
Adidas Delhi,RET-1057,2025-06-01,North,Delhi,Delhi,Ultraboost 22,18999,46,873954,109824.76,12.57,Retail Store
Adidas Kolkata,RET-1058,2025-06-01,East,Kolkata,West Bengal,Track Jacket,4999,50,249950,31607.52,12.65,Online
Adidas Bengaluru,RET-1059,2025-06-02,South,Bengaluru,Karnataka,Track Jacket,4999,6,29994,4007.51,13.36,Online
Adidas Delhi,RET-1060,2025-06-26,North,Delhi,Delhi,Adizero SL,11999,26,311974,44840.51,14.37,Online
Adidas Kolkata,RET-1061,2025-06-08,East,Kolkata,West Bengal,Climacool T-shirt,2499,28,69972,7021.4,10.03,Online
Adidas Delhi,RET-1062,2025-06-04,North,Delhi,Delhi,Superstar,8999,21,188979,21118.75,11.18,Online
Adidas Kolkata,RET-1063,2025-06-20,East,Kolkata,West Bengal,Superstar,8999,9,80991,12592.31,15.55,Online
Adidas Mumbai,RET-1064,2025-06-03,West,Mumbai,Maharashtra,Superstar,8999,12,107988,25055.91,23.2,Retail Store
Adidas Bengaluru,RET-1065,2025-06-10,South,Bengaluru,Karnataka,Adizero SL,11999,28,335972,63407.98,18.87,Retail Store
Adidas Kolkata,RET-1066,2025-06-29,East,Kolkata,West Bengal,Sports Cap,999,29,28971,3938.59,13.59,Retail Store
Adidas Chennai,RET-1067,2025-06-01,South,Chennai,Tamil Nadu,Track Jacket,4999,17,84983,9759.27,11.48,Online
Adidas Mumbai,RET-1068,2025-06-10,West,Mumbai,Maharashtra,Superstar,8999,29,260971,61118.0,23.42,Retail Store
Adidas Bengaluru,RET-1069,2025-06-24,South,Bengaluru,Karnataka,Sports Cap,999,22,21978,3002.05,13.66,Retail Store
Adidas Delhi,RET-1070,2025-06-12,North,Delhi,Delhi,Ultraboost 22,18999,5,94995,12171.27,12.81,Retail Store
Adidas Delhi,RET-1071,2025-06-10,North,Delhi,Delhi,Adizero SL,11999,15,179985,32804.47,18.23,Online
Adidas Delhi,RET-1072,2025-06-05,North,Delhi,Delhi,Track Jacket,4999,29,144971,16445.25,11.34,Online
Adidas Delhi,RET-1073,2025-06-16,North,Delhi,Delhi,Climacool T-shirt,2499,42,104958,18673.94,17.79,Online
Adidas Kolkata,RET-1074,2025-06-22,East,Kolkata,West Bengal,Climacool T-shirt,2499,32,79968,10808.43,13.52,Online
Adidas Delhi,RET-1075,2025-06-22,North,Delhi,Delhi,Ultraboost 22,18999,6,113994,15768.21,13.83,Retail Store
Adidas Delhi,RET-1076,2025-06-05,North,Delhi,Delhi,Sports Cap,999,26,25974,4338.66,16.7,Online
Adidas Mumbai,RET-1077,2025-06-05,West,Mumbai,Maharashtra,Climacool T-shirt,2499,38,94962,23686.35,24.94,Online
Adidas Chennai,RET-1078,2025-06-04,South,Chennai,Tamil Nadu,Sports Cap,999,43,42957,5033.0,11.72,Online
Adidas Kolkata,RET-1079,2025-06-04,East,Kolkata,West Bengal,Track Jacket,4999,28,139972,25095.44,17.93,Online
Adidas Delhi,RET-1080,2025-06-21,North,Delhi,Delhi,Track Jacket,4999,29,144971,22227.04,15.33,Online
Adidas Kolkata,RET-1081,2025-06-10,East,Kolkata,West Bengal,Ultraboost 22,18999,40,759960,189823.95,24.98,Online
Adidas Kolkata,RET-1082,2025-06-14,East,Kolkata,West Bengal,Superstar,8999,43,386957,63958.44,16.53,Retail Store
Adidas Bengaluru,RET-1083,2025-06-29,South,Bengaluru,Karnataka,Superstar,8999,28,251972,59431.94,23.59,Online
Adidas Chennai,RET-1084,2025-06-20,South,Chennai,Tamil Nadu,Sports Cap,999,16,15984,2652.15,16.59,Retail Store
Adidas Kolkata,RET-1085,2025-06-27,East,Kolkata,West Bengal,Climacool T-shirt,2499,8,19992,4314.47,21.58,Retail Store
Adidas Mumbai,RET-1086,2025-06-30,West,Mumbai,Maharashtra,Sports Cap,999,18,17982,3611.48,20.08,Online
Adidas Mumbai,RET-1087,2025-06-10,West,Mumbai,Maharashtra,Superstar,8999,7,62993,13784.19,21.88,Online
Adidas Chennai,RET-1088,2025-06-11,South,Chennai,Tamil Nadu,Sports Cap,999,5,4995,994.65,19.91,Online
Adidas Bengaluru,RET-1089,2025-06-24,South,Bengaluru,Karnataka,Sports Cap,999,49,48951,5494.78,11.23,Retail Store
Adidas Chennai,RET-1090,2025-06-13,South,Chennai,Tamil Nadu,Ultraboost 22,18999,33,626967,137688.98,21.96,Retail Store
Adidas Mumbai,RET-1091,2025-06-28,West,Mumbai,Maharashtra,Track Jacket,4999,24,119976,16642.07,13.87,Retail Store
